# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -1.7256031592e+01    1.8858146737e-01    2.6860000000e+03    2.6880000000e+03    0.0000000000e+00   -1.7253793541e+01    9.9599415656e-01    9.9888392857e-01
         1   -1.7253166429e+01    1.9062304051e-01    2.6899887535e+03    2.6880000000e+03    0.0000000000e+00   -1.7107166680e+01    9.9579462428e-01    9.9776785714e-01
         2   -1.7246367152e+01    1.8925928621e-01    2.6879327181e+03    2.6840000000e+03    5.0000000000e-01   -1.6955325719e+01    9.9396515850e-01    1.0000000000e+00
         3   -1.7260331246e+01    1.9301334732e-01    2.6881053186e+03    2.6900000000e+03    3.3333333333e-01   -1.7395121342e+01    9.9572819425e-01    9.9851301115e-01
         4   -1.7262999858e+01    2.8532086005e-01    2.6880160324e+03    2.6880000000e+03    6.6666666667e-01   -1.7260331246e+01    9.9445569578e-01    9.9962797619e-01
         5   -1.7264007393e+01    2.6891633182e-01    2.6880090300e+03    2.6890000000e+03    1.6666666667e-01   -1.7337390783e+01    9.9615549400e-01    1.0000000000e+00
         6   -1.7261922012e+01    4.2429559042e-01    2.6879898009e+03    2.6900000000e+03    1.6666666667e-01   -1.7412761584e+01    9.9354560803e-01    9.9925650558e-01
         7   -1.7253264369e+01    2.2113143776e-01    2.6879333582e+03    2.6880000000e+03    3.3333333333e-01   -1.7261922012e+01    9.9367076993e-01    9.9962797619e-01
         8   -1.7246194575e+01    2.6411638335e-01    2.6879836510e+03    2.6930000000e+03    1.6666666667e-01   -1.7624942603e+01    9.9628318833e-01    9.9814333457e-01
         9   -1.7252439822e+01    2.7414010314e-01    2.6880367582e+03    2.6880000000e+03    3.3333333333e-01   -1.7246194575e+01    9.9509946610e-01    9.9962797619e-01
        10   -1.7251986959e+01    2.4271196498e-01    2.6880331637e+03    2.6950000000e+03    1.6666666667e-01   -1.7772596162e+01    9.9563962693e-01    9.9740259740e-01
        11   -1.7259293520e+01    2.2693436444e-01    2.6880441779e+03    2.6880000000e+03    5.0000000000e-01   -1.7251986959e+01    9.9586204939e-01    9.9962797619e-01
        12   -1.7259451792e+01    2.2838984122e-01    2.6880315461e+03    2.6930000000e+03    5.0000000000e-01   -1.7630971754e+01    9.9711383737e-01    9.9851466766e-01
        13   -1.7259680543e+01    2.3051026469e-01    2.6880093022e+03    2.6890000000e+03    3.3333333333e-01   -1.7333842717e+01    9.9584612841e-01    9.9962811454e-01
        14   -1.7255877937e+01    2.4183157231e-01    2.6879737360e+03    2.6890000000e+03    1.6666666667e-01   -1.7334071469e+01    9.9567541381e-01    9.9888434362e-01
        15   -1.7246455893e+01    3.0563639993e-01    2.6879526225e+03    2.6910000000e+03    3.3333333333e-01   -1.7478967754e+01    9.9675126970e-01    9.9851356373e-01
        16   -1.7257887026e+01    2.1200659170e-01    2.6880717105e+03    2.6880000000e+03    5.0000000000e-01   -1.7246455893e+01    9.9530357064e-01    9.9962797619e-01
        17   -1.7257296371e+01    2.2204720713e-01    2.6879983683e+03    2.6880000000e+03    0.0000000000e+00   -1.7257887026e+01    9.9640195507e-01    9.9962797619e-01
        18   -1.7259667995e+01    2.4257520439e-01    2.6880161391e+03    2.6890000000e+03    1.6666666667e-01   -1.7331687296e+01    9.9544000879e-01    9.9962811454e-01
        19   -1.7264442486e+01    2.3703356762e-01    2.6880317722e+03    2.6890000000e+03    1.6666666667e-01   -1.7334058920e+01    9.9501607400e-01    9.9851245816e-01
        20   -1.7263085776e+01    2.4007186099e-01    2.6880051599e+03    2.6850000000e+03    3.3333333333e-01   -1.7041103546e+01    9.9432745796e-01    9.9925512104e-01
        21   -1.7265219739e+01    2.4348092798e-01    2.6880242981e+03    2.6900000000e+03    3.3333333333e-01   -1.7411839966e+01    9.9541246364e-01    1.0000000000e+00
        22   -1.7259166267e+01    3.1205465242e-01    2.6879797776e+03    2.6930000000e+03    1.6666666667e-01   -1.7636897973e+01    9.9545624087e-01    9.9740066840e-01
        23   -1.7253704189e+01    2.3430676180e-01    2.6879567844e+03    2.6870000000e+03    1.6666666667e-01   -1.7184747661e+01    9.9565568083e-01    9.9925567547e-01
        24   -1.7257841378e+01    2.3234611479e-01    2.6880216295e+03    2.6860000000e+03    3.3333333333e-01   -1.7104839277e+01    9.9526902254e-01    1.0000000000e+00
        25   -1.7249095843e+01    2.1777344787e-01    2.6879321027e+03    2.6870000000e+03    1.6666666667e-01   -1.7183422773e+01    9.9509409767e-01    9.9962783774e-01
        26   -1.7259870722e+01    1.9654214262e-01    2.6880844573e+03    2.6900000000e+03    1.6666666667e-01   -1.7397850034e+01    9.9509380767e-01    9.9851301115e-01
        27   -1.7252951260e+01    2.0912219680e-01    2.6879411193e+03    2.6860000000e+03    3.3333333333e-01   -1.7111005810e+01    9.9666673191e-01    9.9925539836e-01
        28   -1.7262602831e+01    2.9339197766e-01    2.6880784399e+03    2.6900000000e+03    3.3333333333e-01   -1.7401705451e+01    9.9513897059e-01    9.9851301115e-01
        29   -1.7258856178e+01    2.3719077214e-01    2.6879720869e+03    2.6880000000e+03    5.0000000000e-01   -1.7262602831e+01    9.9602141904e-01    9.9925595238e-01
        30   -1.7268250981e+01    2.2040735137e-01    2.6880720963e+03    2.6900000000e+03    3.3333333333e-01   -1.7407610368e+01    9.9694474326e-01    9.9962825279e-01
        31   -1.7256690818e+01    1.8164283481e-01    2.6879367825e+03    2.6900000000e+03    1.6666666667e-01   -1.7417005172e+01    9.9644852582e-01    9.9851301115e-01
        32   -1.7254431261e+01    2.0960320740e-01    2.6879808346e+03    2.6870000000e+03    3.3333333333e-01   -1.7182272213e+01    9.9646381094e-01    9.9962783774e-01
        33   -1.7256487983e+01    1.8018728185e-01    2.6880242501e+03    2.6890000000e+03    1.6666666667e-01   -1.7328822186e+01    9.9539841888e-01    9.9888434362e-01
        34   -1.7259205106e+01    1.9165357508e-01    2.6880195379e+03    2.6880000000e+03    0.0000000000e+00   -1.7256487983e+01    9.9552825291e-01    9.9888392857e-01
        35   -1.7254419533e+01    1.9214685098e-01    2.6879685891e+03    2.6880000000e+03    5.0000000000e-01   -1.7259205106e+01    9.9683967931e-01    9.9888392857e-01
        36   -1.7261977334e+01    2.6153614402e-01    2.6880423872e+03    2.6860000000e+03    1.6666666667e-01   -1.7105554621e+01    9.9448065084e-01    9.9888309754e-01
        37   -1.7263372661e+01    2.1979316193e-01    2.6879915478e+03    2.6840000000e+03    3.3333333333e-01   -1.6964136623e+01    9.9592747920e-01    1.0000000000e+00
        38   -1.7258816926e+01    2.2006558644e-01    2.6879662727e+03    2.6870000000e+03    3.3333333333e-01   -1.7188954055e+01    9.9609538304e-01    9.9962783774e-01
        39   -1.7254409482e+01    3.0960875772e-01    2.6879822775e+03    2.6910000000e+03    1.6666666667e-01   -1.7481906743e+01    9.9471744138e-01    9.9814195466e-01
        40   -1.7253960217e+01    2.3017021717e-01    2.6880317207e+03    2.6870000000e+03    3.3333333333e-01   -1.7179990877e+01    9.9476924223e-01    9.9962783774e-01
        41   -1.7260630806e+01    2.3227289674e-01    2.6880566869e+03    2.6900000000e+03    5.0000000000e-01   -1.7402714408e+01    9.9538208056e-01    9.9851301115e-01
        42   -1.7246038013e+01    2.6050278933e-01    2.6878901611e+03    2.6860000000e+03    5.0000000000e-01   -1.7111765894e+01    9.9595172183e-01    9.9925539836e-01
        43   -1.7250855207e+01    2.3064461326e-01    2.6880243228e+03    2.6870000000e+03    3.3333333333e-01   -1.7171619407e+01    9.9652311311e-01    1.0000000000e+00
        44   -1.7250978683e+01    2.3555975077e-01    2.6879894198e+03    2.6870000000e+03    0.0000000000e+00   -1.7176436602e+01    9.9406003199e-01    1.0000000000e+00
        45   -1.7249416947e+01    2.1067448341e-01    2.6879833876e+03    2.6880000000e+03    0.0000000000e+00   -1.7250978683e+01    9.9578634689e-01    9.9888392857e-01
        46   -1.7254876089e+01    2.0689951094e-01    2.6880258985e+03    2.6860000000e+03    3.3333333333e-01   -1.7100552035e+01    9.9418633530e-01    1.0000000000e+00
        47   -1.7255476716e+01    2.3548219205e-01    2.6880058703e+03    2.6890000000e+03    5.0000000000e-01   -1.7329267014e+01    9.9544430970e-01    9.9925622908e-01
        48   -1.7271230260e+01    4.0009615123e-01    2.6881189671e+03    2.6900000000e+03    3.3333333333e-01   -1.7404230907e+01    9.9422855383e-01    9.9962825279e-01
