#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7252444589e+01    2.9788174952e+02   -3.1193021745e+01    1.3940577156e+01    1.7049972778e+01   -5.7055851141e+01    1.8320933715e+00    6.9807632464e+00    2.6881000000e+04    2.8330528736e-01    9.9740974214e-01
         1   -1.7262419549e+01    2.9822623346e+02   -3.0984756257e+01    1.3722336707e+01    1.7068177666e+01   -5.6830619202e+01    1.7969220332e+00    6.9807632464e+00    2.6883000000e+04    2.7958830198e-01    9.9759619034e-01
         2   -1.7253062028e+01    2.9789127074e+02   -3.0990773159e+01    1.3737711131e+01    1.7081548876e+01   -5.6961088865e+01    1.9080035836e+00    6.9807632464e+00    2.6878000000e+04    4.2671398322e-01    9.9728402510e-01
         3   -1.7250399734e+01    2.9781181849e+02   -3.1100641803e+01    1.3850242069e+01    1.7074393548e+01   -5.7008440780e+01    1.8526421821e+00    6.9807632464e+00    2.6880000000e+04    2.7855137984e-01    9.9733996867e-01
         4   -1.7263202235e+01    2.9823384440e+02   -3.1000199035e+01    1.3736996801e+01    1.7049903266e+01   -5.6873768047e+01    1.8429024989e+00    6.9807632464e+00    2.6884000000e+04    2.7959851424e-01    9.9716862580e-01
         5   -1.7258988629e+01    2.9813307978e+02   -3.0885833826e+01    1.3626845198e+01    1.7079945009e+01   -5.6852036216e+01    1.9054941345e+00    6.9807632464e+00    2.6889000000e+04    2.7743816376e-01    9.9756826610e-01
         6   -1.7261631480e+01    2.9822882353e+02   -3.0905961932e+01    1.3644330451e+01    1.7045553885e+01   -5.6857281156e+01    1.9250020934e+00    6.9807632464e+00    2.6885000000e+04    2.7593024572e-01    9.9733174852e-01
         7   -1.7250782824e+01    2.9783236906e+02   -3.0977012286e+01    1.3726229462e+01    1.7043629249e+01   -5.6947183150e+01    1.9457783685e+00    6.9807632464e+00    2.6877000000e+04    2.7993210157e-01    9.9721871636e-01
         8   -1.7254943957e+01    2.9795701184e+02   -3.0928365355e+01    1.3673421398e+01    1.7035496229e+01   -5.6791258115e+01    1.8466332848e+00    6.9807632464e+00    2.6885000000e+04    2.7655867736e-01    9.9736786627e-01
         9   -1.7252331973e+01    2.9788362608e+02   -3.0697785018e+01    1.3445453044e+01    1.7039466646e+01   -5.6615477486e+01    1.8974625754e+00    6.9807632464e+00    2.6878000000e+04    2.7786203225e-01    9.9742387939e-01
        10   -1.7261997278e+01    2.9819055889e+02   -3.0659799514e+01    1.3397802236e+01    1.7030862877e+01   -5.6453099377e+01    1.7816737397e+00    6.9807632464e+00    2.6822000000e+04    2.7661375205e-01    9.9762858264e-01
        11   -1.7257813943e+01    2.9804722799e+02   -3.0571169170e+01    1.3313355227e+01    1.7034320466e+01   -5.6426809809e+01    1.8405569265e+00    6.9807632464e+00    2.6827000000e+04    2.7735896905e-01    9.9755338423e-01
        12   -1.7253085204e+01    2.9792790263e+02   -3.0644724604e+01    1.3391639400e+01    1.7027370130e+01   -5.6531811088e+01    1.8789531077e+00    6.9807632464e+00    2.6805000000e+04    2.7896622817e-01    9.9754795457e-01
        13   -1.7255597596e+01    2.9800784874e+02   -3.0709307187e+01    1.3453709591e+01    1.7054471732e+01   -5.6543848979e+01    1.7993068129e+00    6.9807632464e+00    2.6755000000e+04    2.7715309461e-01    9.9738305612e-01
        14   -1.7258599765e+01    2.9808082369e+02   -3.0838076927e+01    1.3579477162e+01    1.7080310279e+01   -5.6782160745e+01    1.8830102935e+00    6.9807632464e+00    2.6866000000e+04    2.7656261126e-01    9.9736119503e-01
        15   -1.7257369078e+01    2.9805135658e+02   -3.0931827544e+01    1.3674458465e+01    1.7104736944e+01   -5.6927907057e+01    1.9105793224e+00    6.9807632464e+00    2.6907000000e+04    2.8192965190e-01    9.9729154947e-01
        16   -1.7249505593e+01    2.9777352991e+02   -3.0968506615e+01    1.3719001022e+01    1.7100084549e+01   -5.6974556834e+01    1.9252024243e+00    6.9807632464e+00    2.6909000000e+04    2.8099914392e-01    9.9725466256e-01
        17   -1.7252622270e+01    2.9785824547e+02   -3.0863816220e+01    1.3611193950e+01    1.7049135315e+01   -5.6769140648e+01    1.8754258666e+00    6.9807632464e+00    2.6896000000e+04    2.7897441387e-01    9.9735519358e-01
        18   -1.7248348682e+01    2.9772434670e+02   -3.0950954137e+01    1.3702605455e+01    1.7045683330e+01   -5.6912257470e+01    1.9348567566e+00    6.9807632464e+00    2.6880000000e+04    2.7930963039e-01    9.9738626727e-01
        19   -1.7265338356e+01    2.9830024514e+02   -3.0998066361e+01    1.3732728005e+01    1.7067649018e+01   -5.6970995748e+01    1.9245171231e+00    6.9807632464e+00    2.6991000000e+04    2.8251791000e-01    9.9754942046e-01
        20   -1.7274041555e+01    2.9863936317e+02   -3.0991957495e+01    1.3717915940e+01    1.7087318125e+01   -5.6920036111e+01    1.8599972452e+00    6.9807632464e+00    2.7020000000e+04    2.8246537844e-01    9.9742800267e-01
        21   -1.7269929766e+01    2.9849476651e+02   -3.1078032290e+01    1.3808102524e+01    1.7118090702e+01   -5.7070363856e+01    1.8934776173e+00    6.9807632464e+00    2.7083000000e+04    2.8082549572e-01    9.9750680170e-01
        22   -1.7270687742e+01    2.9851987903e+02   -3.1054979590e+01    1.3784291848e+01    1.7170523948e+01   -5.7109111708e+01    1.9028449235e+00    6.9807632464e+00    2.7179000000e+04    2.8504637877e-01    9.9722615928e-01
        23   -1.7259210345e+01    2.9812601024e+02   -3.1078585526e+01    1.3819375181e+01    1.7176627693e+01   -5.7134545083e+01    1.8985686177e+00    6.9807632464e+00    2.7152000000e+04    2.8727102280e-01    9.9746387755e-01
        24   -1.7254539513e+01    2.9796570096e+02   -3.0962229112e+01    1.3707689599e+01    1.7154876927e+01   -5.6977510556e+01    1.8796412706e+00    6.9807632464e+00    2.7093000000e+04    2.8398160140e-01    9.9749091211e-01
        25   -1.7258983348e+01    2.9810553498e+02   -3.0986681409e+01    1.3727698061e+01    1.7119852800e+01   -5.7036695699e+01    1.9493982438e+00    6.9807632464e+00    2.7127000000e+04    2.8347281615e-01    9.9742793901e-01
        26   -1.7254040395e+01    2.9802664352e+02   -3.0898991954e+01    1.3644951559e+01    1.7098816349e+01   -5.6879673586e+01    1.9011020368e+00    6.9807632464e+00    2.7208000000e+04    2.8543821971e-01    9.9756917700e-01
        27   -1.7267283049e+01    2.9844168326e+02   -3.0847138342e+01    1.3579855293e+01    1.7073470434e+01   -5.6751531059e+01    1.8501590367e+00    6.9807632464e+00    2.7202000000e+04    2.8344976902e-01    9.9739015465e-01
        28   -1.7261379161e+01    2.9817717812e+02   -3.0663363830e+01    1.3401984668e+01    1.7088635464e+01   -5.6628269175e+01    1.8955066356e+00    6.9807632464e+00    2.7101000000e+04    2.8356989225e-01    9.9756176134e-01
