#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7257212853e+01    2.9804762746e+02   -3.0657426288e+01    1.3400213435e+01   -5.6593702113e+01    1.8895626360e+00    1.7065949943e+01    6.9807632464e+00    2.6887000000e+04    2.7889882217e-01    9.9737787522e-01
         1   -1.7261004149e+01    2.9817729142e+02   -3.0677058909e+01    1.3416054759e+01   -5.6653503849e+01    1.9167327575e+00    1.7078948936e+01    6.9807632464e+00    2.6882000000e+04    2.7963081283e-01    9.9744259511e-01
         2   -1.7255043749e+01    2.9800833131e+02   -3.0788080183e+01    1.3533036434e+01   -5.6726288199e+01    1.8653349816e+00    1.7092109787e+01    6.9807632464e+00    2.6877000000e+04    3.9834987200e-01    9.9721429118e-01
         3   -1.7245987739e+01    2.9771086677e+02   -3.0693620964e+01    1.3447633225e+01   -5.6773977674e+01    2.0016531651e+00    1.7097940298e+01    6.9807632464e+00    2.6869000000e+04    2.8013057200e-01    9.9719495618e-01
         4   -1.7259442601e+01    2.9813369351e+02   -3.0677656462e+01    1.3418213861e+01   -5.6836076550e+01    2.0658625087e+00    1.7111794333e+01    6.9807632464e+00    2.6876000000e+04    2.7905494650e-01    9.9745575796e-01
         5   -1.7253717490e+01    2.9793482019e+02   -3.0728270060e+01    1.3474552570e+01   -5.6771998446e+01    1.9544556210e+00    1.7108509518e+01    6.9807632464e+00    2.6891000000e+04    2.7874138267e-01    9.9745752096e-01
         6   -1.7252388532e+01    2.9790128522e+02   -3.0704412638e+01    1.3452024106e+01   -5.6682165008e+01    1.9095034087e+00    1.7087485715e+01    6.9807632464e+00    2.6880000000e+04    2.7810774433e-01    9.9722331993e-01
         7   -1.7252192254e+01    2.9787116549e+02   -3.0652654155e+01    1.3400461901e+01   -5.6503864876e+01    1.8277386992e+00    1.7042708776e+01    6.9807632464e+00    2.6888000000e+04    2.7738482600e-01    9.9740559240e-01
         8   -1.7259938724e+01    2.9814224247e+02   -3.0594624179e+01    1.3334685455e+01   -5.6477097145e+01    1.8241885046e+00    1.7077521216e+01    6.9807632464e+00    2.6882000000e+04    2.7949285417e-01    9.9764781317e-01
         9   -1.7260205502e+01    2.9815936046e+02   -3.0669965715e+01    1.3409760213e+01   -5.6639614286e+01    1.9207169846e+00    1.7068168340e+01    6.9807632464e+00    2.6901000000e+04    2.8541442633e-01    9.9752739012e-01
        10   -1.7249881317e+01    2.9778371265e+02   -3.0830514141e+01    1.3580632823e+01   -5.6774785336e+01    1.9033670711e+00    1.7060140878e+01    6.9807632464e+00    2.6915000000e+04    2.8589155833e-01    9.9751957027e-01
        11   -1.7261263350e+01    2.9819937175e+02   -3.0905379107e+01    1.3644115757e+01   -5.6836577743e+01    1.8717421419e+00    1.7078693248e+01    6.9807632464e+00    2.6950000000e+04    2.8076719600e-01    9.9744398822e-01
        12   -1.7256445722e+01    2.9800104775e+02   -3.0926834143e+01    1.3670388421e+01   -5.6825300754e+01    1.8627443297e+00    1.7054959035e+01    6.9807632464e+00    2.6997000000e+04    2.8208584600e-01    9.9749010487e-01
        13   -1.7259460752e+01    2.9824926972e+02   -3.1045452100e+01    1.3785991348e+01   -5.6937015185e+01    1.8566687129e+00    1.7054131125e+01    6.9807632464e+00    2.6993000000e+04    2.8217427700e-01    9.9752676620e-01
        14   -1.7257171577e+01    2.9804773767e+02   -3.1025507093e+01    1.3768335515e+01   -5.6923000135e+01    1.8394787547e+00    1.7077251041e+01    6.9807632464e+00    2.7079000000e+04    2.8202296567e-01    9.9742348013e-01
